name,id,numeric_id,sort_order,sort_feature,template,type,railtype,year,end_year,service,cars,power,secondary_power,cyl_d,cyl_len,cyl_n,steam_psi,rpm,wheel_d,ihp,weight,tender_weight,loading_speed,tractive_effort,te_coeff,speed,kmhish_speed,secondary_speed,speed_conf,length,scale_len,width,height,capacity,voxel_size,ttd_len,tender,articulated_lengths,effect_unit,manual_lengths,manual_ttd_len,layout,pantograph_unit,new_sprites,reuse_sprites,animated,replace_last_wagon,vehicle_life,lifespan,run_cost_penalty,purchase_penalty,speed_cost_factor,power_cost_factor,te_cost_factor,year_multiplier,capacity_factor,type_run_cost,type_purchase_cost,cost,running_cost,cost_gbp,run_cost_gbp,double_headed,dvt,use_mu_engine_logic,tilting,multiple_working,requires_second_power_car,purchase_length,enable_param,intro_month,cargo_age_period,cargo_handling,default_cargo,era_id,category,era_cat,power_class,length_text,power_text,units_text,bio,brake_text,additional_text,has_aged_variant
Hunslet 0-4-0DM,hunslet_alf,41,2010,FEAT_TRAINS,locomotive,diesel,NARROW_GAUGE,1950,,,,75,,,,,,200,0.7,0,10,,5,28,0.28,32,51,,,,6,,,0,66x0x0,4,,"1,2,1",,,,,,,,1,,125,,-9,-12,6.4,0.375,1.4,0.93,0,1,2,16,31,"$12,500","$2,519",,,,,,,,,3,,,,ebr,Cheap,ebr_Cheap,diesel_NARROW_GAUGE,{BLACK}Length: {GOLD}0.3 tiles{},{BLACK}Powered by: {GOLD}Diesel,,The Hunslet 0-4-0DM is powered by a Gardner 4LW engine and is typical of a narrow gauge locomotive used for engineering duties.,,{BLACK}Powered by: {GOLD}Diesel {}{BLACK}Length: {GOLD}0.3 tiles{}{SILVER}The Hunslet 0-4-0DM is powered by a Gardner 4LW engine and is typical of a narrow gauge locomotive used for engineering duties.,
"John Bate ""Toby""",toby,42,2011,FEAT_TRAINS,locomotive,petrol,NARROW_GAUGE,1954,,,,30,,,,,,150,0.7,0,5,,5,16,0.32,24,38,,,,6,,,0,66x0x0,4,,"1,2,1",,,,,,,,,,125,,-9,-12,4.8,0.15,0.8,0.93,0,1.05,1.9,9,27,"$7,031","$2,194",,,,,,,,,7,,,,ebr,Cheap,ebr_Cheap,petrol_NARROW_GAUGE,{BLACK}Length: {GOLD}0.3 tiles{},{BLACK}Powered by: {GOLD}Petrol,,Talyllyn Railway volunteer John Bate built this small locomotive using the engine from a Austin Seven. The canopy was added later.,,{BLACK}Powered by: {GOLD}Petrol {}{BLACK}Length: {GOLD}0.3 tiles{}{SILVER}Talyllyn Railway volunteer John Bate built this small locomotive using the engine from a Austin Seven. The canopy was added later.,
Baguley-Drewry Diesel,baguley_drewry,45,2012,FEAT_TRAINS,locomotive,diesel,NARROW_GAUGE,1982,,,,100,,,,,,219,0.7,0,10,,5,36,0.36,35,56,,,,7,,,0,66x0x0,4,,"1,2,1",,,,,,,,,,125,,-7,-6,7,0.5,1.8,0.89,0,1,2,23,33,"$17,969","$2,681",,,,,,,,,4,,,,lbr,Cheap,lbr_Cheap,diesel_NARROW_GAUGE,{BLACK}Length: {GOLD}0.3 tiles{},{BLACK}Powered by: {GOLD}Diesel,,Larger and more powerful diesel shunters displaced steam from industrial lines as they were more economical to run. Even preservation railways keep some around for utility duties.,,{BLACK}Powered by: {GOLD}Diesel {}{BLACK}Length: {GOLD}0.3 tiles{}{SILVER}Larger and more powerful diesel shunters displaced steam from industrial lines as they were more economical to run. Even preservation railways keep some around for utility duties.,
Incline car,incline_car,80,-1,,na,wagon,NARROW_GAUGE,1800,,1880,,,,,,,,,,,3,,3,,,25,40,,,6,6,,,12,66x0x0,4,,"1,2,1",,,,,,,,,,80,88,,,5,0,0,1.00,0.4,1,0.45,5,37,"$3,906","$3,006",,,,,,,,,1,74,NGPassengers,PASS,early,Open Wagon,early_Open Wagon,wagon_NARROW_GAUGE,{BLACK}Length: {GOLD}0.3 tiles{},,,"Early narrow gauge railways were used solely for freight, until the Ffestiniog Railway began carrying passengers in the 1860s. Early gravity railways used incline cars to deliver quarry workers swiftly to their place of work.",{YELLOW}Preserved railway bonus: passengers pay more when hauled by old locomotives{},"{BLACK}Length: {GOLD}0.3 tiles{}{YELLOW}Preserved railway bonus: passengers pay more when hauled by old locomotives{}{SILVER}Early narrow gauge railways were used solely for freight, until the Ffestiniog Railway began carrying passengers in the 1860s. Early gravity railways used incline cars to deliver quarry workers swiftly to their place of work.",
Four-wheel carriage,four_wheel_carriage_ng,81,3001,FEAT_TRAINS,wagon,wagon,NARROW_GAUGE,1863,,,,,,,,,,,,,5,,4,,,35,56,,,8,8,,,18,82x0x0,5,,"2,1,2",,,,,,,,,,80,,5,10,7,0,0,1.00,3,1,0.45,17,30,"$1,063",$82,,,,,,,,,1,74,NGPassengers,PASS,vct,Open Wagon,vct_Open Wagon,wagon_NARROW_GAUGE,{BLACK}Length: {GOLD}0.4 tiles{},,,"When narrow gauge began operating passenger services, carriages were simple, flat-sided vehicles build around wooden frames on a four-wheel chassis.",{YELLOW}Preserved railway bonus: passengers pay more when hauled by old locomotives{},"{BLACK}Length: {GOLD}0.4 tiles{}{YELLOW}Preserved railway bonus: passengers pay more when hauled by old locomotives{}{SILVER}When narrow gauge began operating passenger services, carriages were simple, flat-sided vehicles build around wooden frames on a four-wheel chassis.",
Bogie carriage,bogie_carriage_ng,82,3002,FEAT_TRAINS,wagon,wagon,NARROW_GAUGE,1900,,,,,,,,,,,,,7,,4,,,45,72,,,12,12,,,36,120x0x0,7,,"2,3,2",,,,,,,,,,80,,10,20,9,0,0,1.00,6,1,0.45,30,40,"$1,875",$109,,,,,,,,,1,74,NGPassengers,PASS,edw,Open Wagon,edw_Open Wagon,wagon_NARROW_GAUGE,{BLACK}Length: {GOLD}0.5 tiles{},,,"Later narrow gauge carriages increased in length where loading gauges allowed, using bogies to help negotiate tight curves.",{YELLOW}Preserved railway bonus: passengers pay more when hauled by old locomotives{},"{BLACK}Length: {GOLD}0.5 tiles{}{YELLOW}Preserved railway bonus: passengers pay more when hauled by old locomotives{}{SILVER}Later narrow gauge carriages increased in length where loading gauges allowed, using bogies to help negotiate tight curves.",
Four-wheel brake carriage,four_wheel_carriage_mail_ng,84,3003,FEAT_TRAINS,wagon,wagon,NARROW_GAUGE,1863,,,,,,,,,,,,,4,,4,,,35,56,,,8,8,,,24,82x0x0,5,,"2,1,2",,,,,,,,,,80,,5,10,7,0,0,1.00,4,1,0.45,17,31,"$1,063",$85,,,,,,,,,1,225,Parcel,MAIL,vct,Open Wagon,vct_Open Wagon,wagon_NARROW_GAUGE,{BLACK}Length: {GOLD}0.4 tiles{},,,"Brake vans were rarer on narrow gauge railways, but passenger services would typically have a guard's wagon which could also carry parcels.",,"{BLACK}Length: {GOLD}0.4 tiles{}{SILVER}Brake vans were rarer on narrow gauge railways, but passenger services would typically have a guard's wagon which could also carry parcels.",
Bogie brake carriage,bogie_carriage_mail_ng,85,3004,FEAT_TRAINS,wagon,wagon,NARROW_GAUGE,1900,,,,,,,,,,,,,6,,4,,,45,72,,,12,12,,,42,120x0x0,7,,"2,3,2",,,,,,,,,,80,,10,20,9,0,0,1.00,7,1,0.45,30,41,"$1,875",$112,,,,,,,,,1,225,Parcel,MAIL,edw,Open Wagon,edw_Open Wagon,wagon_NARROW_GAUGE,{BLACK}Length: {GOLD}0.5 tiles{},,,Larger and heavier carriages also meant larger and heavier guard's vans.,,{BLACK}Length: {GOLD}0.5 tiles{}{SILVER}Larger and heavier carriages also meant larger and heavier guard's vans.,
Open wagon,open_wagon_ng,86,3005,FEAT_TRAINS,wagon,wagon,NARROW_GAUGE,1800,,1900,,,,,,,,,,,1,,3,,,25,40,,,4.9,6,,,9,66x0x0,4,,"1,2,1",,,,,,,,,,80,108,-15,-3,5,0,0,1.00,1.5,1,0.45,2,6,$125,$16,,,,,,,,,1,225,EarlyOpen,COAL,early,Open Wagon,early_Open Wagon,wagon_NARROW_GAUGE,{BLACK}Length: {GOLD}0.3 tiles{},,,An open wagon for carrying bulk cargo on narrow gauge railways.,,{BLACK}Length: {GOLD}0.3 tiles{}{SILVER}An open wagon for carrying bulk cargo on narrow gauge railways.,
Mineral wagon,mineral_wagon_ng,87,3006,FEAT_TRAINS,wagon,wagon,NARROW_GAUGE,1870,,,,,,,,,,,,,1,,4,,,30,48,,,8,8,,,12,82x0x0,5,,"2,1,2",,,,,,,,,,80,,-15,-3,6,0,0,1.00,2,1,0.45,3,8,$188,$22,,,,,,,,,1,225,Bulk,COAL,vct,Open Wagon,vct_Open Wagon,wagon_NARROW_GAUGE,{BLACK}Length: {GOLD}0.4 tiles{},,,Heavier mineral wagons allowed larger amounts of cargo to be carried.,,{BLACK}Length: {GOLD}0.4 tiles{}{SILVER}Heavier mineral wagons allowed larger amounts of cargo to be carried.,
Flat wagon,flat_wagon_ng,88,3007,FEAT_TRAINS,wagon,wagon,NARROW_GAUGE,1800,,1900,,,,,,,,,,,1,,3,,,25,40,,,4.9,6,,,10,66x0x0,4,,"1,2,1",,,,,,,,,,80,108,-15,-3,5,0,0,1.00,1.666666667,1,0.45,2,6,$125,$16,,,,,,,,,1,225,Bolster,WOOD,early,Open Wagon,early_Open Wagon,wagon_NARROW_GAUGE,{BLACK}Length: {GOLD}0.3 tiles{},,,"While many narrow gauge railways were quarry lines carrying bulk goods or slate, flat wagons were used for transporting equipment.",,"{BLACK}Length: {GOLD}0.3 tiles{}{SILVER}While many narrow gauge railways were quarry lines carrying bulk goods or slate, flat wagons were used for transporting equipment.",
Bolster wagon,bolster_wagon_ng,89,3008,FEAT_TRAINS,wagon,wagon,NARROW_GAUGE,1870,,,,,,,,,,,,,1,,4,,,30,48,,,4.9,8,,,12,82x0x0,5,,"2,1,2",,,,,,,,,,80,,-15,-3,6,0,0,1.00,2,1,0.45,3,8,$188,$22,,,,,,,,,1,225,Bolster,WOOD,vct,Open Wagon,vct_Open Wagon,wagon_NARROW_GAUGE,{BLACK}Length: {GOLD}0.4 tiles{},,,"As per standard gauge practice, bolster wagons were used for carrying long, rigid cargo.",,"{BLACK}Length: {GOLD}0.4 tiles{}{SILVER}As per standard gauge practice, bolster wagons were used for carrying long, rigid cargo.",
Long Bolster,long_bolster_ng,96,3009,FEAT_TRAINS,wagon,wagon,NARROW_GAUGE,1890,,,,,,,,,,,,,2,,4,,,30,48,,,10,10,,,18,102x0x0,6,,"2,2,2",,,,,,,,,,80,,-15,-2,6,0,0,1.00,3,1,0.45,4,9,$250,$25,,,,,,,,,1,225,Bolster,WOOD,vct,Open Wagon,vct_Open Wagon,wagon_NARROW_GAUGE,{BLACK}Length: {GOLD}0.4 tiles{},,,"Narrow gauge railways tend to use smaller vehicles capable of traversing tight turns, but the occasional larger wagon can be found on straighter routes.",,"{BLACK}Length: {GOLD}0.4 tiles{}{SILVER}Narrow gauge railways tend to use smaller vehicles capable of traversing tight turns, but the occasional larger wagon can be found on straighter routes.",
Tank wagon,tank_wagon_ng,90,3010,FEAT_TRAINS,wagon,wagon,NARROW_GAUGE,1870,,,,,,,,,,,,,1,,4,,,30,48,,,4.9,6,,,12,66x0x0,4,,"1,2,1",,,,,,,,,,80,,-15,-3,6,0,0,1.00,2,1,0.45,3,8,$188,$22,,,,,,,,,1,225,Tanker,OIL_,vct,Open Wagon,vct_Open Wagon,wagon_NARROW_GAUGE,{BLACK}Length: {GOLD}0.3 tiles{},,,"With specialised equipment at stations, tank wagons made liquid cargo easier to handle than loading drums into open wagons.",,"{BLACK}Length: {GOLD}0.3 tiles{}{SILVER}With specialised equipment at stations, tank wagons made liquid cargo easier to handle than loading drums into open wagons.",
Livestock van,livestock_van_ng,91,3011,FEAT_TRAINS,wagon,wagon,NARROW_GAUGE,1870,,,,,,,,,,,,,1,,4,,,30,48,,,4.9,6,,,12,66x0x0,4,,"1,2,1",,,,,,,,,,80,,-15,-3,6,0,0,1.00,2,1,0.45,3,8,$188,$22,,,,,,,,,1,225,Livestock,LVST,vct,Open Wagon,vct_Open Wagon,wagon_NARROW_GAUGE,{BLACK}Length: {GOLD}0.3 tiles{},,,A van for carrying livestock on narrow gauge railways.,,{BLACK}Length: {GOLD}0.3 tiles{}{SILVER}A van for carrying livestock on narrow gauge railways.,
Wooden-framed van,wooden_van_ng,92,3012,FEAT_TRAINS,wagon,wagon,NARROW_GAUGE,1800,,1900,,,,,,,,,,,1,,3,,,25,40,,,4.9,6,,,12,66x0x0,4,,"1,2,1",,,,,,,,,,80,108,-15,-3,5,0,0,1.00,2,1,0.45,2,7,$125,$19,,,,,,,,,1,225,Van,GOOD,early,Open Wagon,early_Open Wagon,wagon_NARROW_GAUGE,{BLACK}Length: {GOLD}0.3 tiles{},,,"Like their larger counterparts, narrow gauge railways built many vans for carrying piece goods.",,"{BLACK}Length: {GOLD}0.3 tiles{}{SILVER}Like their larger counterparts, narrow gauge railways built many vans for carrying piece goods.",
Gunpowder van,gunpowder_van_ng,93,3013,FEAT_TRAINS,wagon,wagon,NARROW_GAUGE,1860,,,,,,,,,,,,,3,,4,,,35,56,,,4.9,6,,,15,66x0x0,4,,"1,2,1",,,,,,,,,,80,,-14,-3,7,0,0,1.00,2.5,1,0.45,4,10,$250,$27,,,,,,,,,1,225,Van,BOOM,vct,Open Wagon,vct_Open Wagon,wagon_NARROW_GAUGE,{BLACK}Length: {GOLD}0.3 tiles{},,,Gunpowder vans carried explosives to the quarries served by narrow gauge railways. This example has solid iron construction.,,{BLACK}Length: {GOLD}0.3 tiles{}{SILVER}Gunpowder vans carried explosives to the quarries served by narrow gauge railways. This example has solid iron construction.,
Iron-framed van,iron_van_ng,94,3014,FEAT_TRAINS,wagon,wagon,NARROW_GAUGE,1870,,,,,,,,,,,,,2,,4,,,35,56,,,4.9,6,,,15,66x0x0,4,,"1,2,1",,,,,,,,,,80,,-15,-3,7,0,0,1.00,2.5,1,0.45,4,9,$250,$25,,,,,,,,,1,225,Van,GOOD,vct,Open Wagon,vct_Open Wagon,wagon_NARROW_GAUGE,{BLACK}Length: {GOLD}0.3 tiles{},,,Later vans used iron frames to increase their strength and enable running at faster speeds.,,{BLACK}Length: {GOLD}0.3 tiles{}{SILVER}Later vans used iron frames to increase their strength and enable running at faster speeds.,
Dandy wagon,dandy_wagon_ng,95,3015,FEAT_TRAINS,wagon,wagon,NARROW_GAUGE,1800,,1880,,,,,,,,,,,1,,3,,,45,72,,,4.9,6,,,0,66x0x0,4,,"1,2,1",,,,,,,,,,80,88,-5,-2,9,0,0,1.00,0,1,0.45,4,19,$250,$52,,,,,,,,,1,,DandyWagon,DANDY,early,Open Wagon,early_Open Wagon,wagon_NARROW_GAUGE,{BLACK}Length: {GOLD}0.3 tiles{},,,Early gravity railways sent cargo downhill with horses riding in dandy wagons. At the bottom the horses would be unloaded and used to haul the empty train back up the hill.,{YELLOW}Faster downhill speeds for horse-drawn trains (1 required per 2 horses){},{BLACK}Length: {GOLD}0.3 tiles{}{YELLOW}Faster downhill speeds for horse-drawn trains (1 required per 2 horses){}{SILVER}Early gravity railways sent cargo downhill with horses riding in dandy wagons. At the bottom the horses would be unloaded and used to haul the empty train back up the hill.,
